2025-12-26 12:55:34+0800 | INFO | client.personal_assistant | event=discovery_request base_url=https://www.ioa.pub/discovery/api/discovery/ agents=[{'name': 'outline_writer', 'query': '分镜大纲', 'limit': 1}]
2025-12-26 12:55:39+0800 | INFO | client.personal_assistant | event=discovery_response agent=outline_writer query=分镜大纲 url=http://13.236.177.52:8032/outline_writer
2025-12-26 12:57:17+0800 | INFO | client.personal_assistant | event=discovery_request base_url=https://www.ioa.pub/discovery/api/discovery/ agents=[{'name': 'outline_writer', 'query': '分镜大纲', 'limit': 1}]
2025-12-26 12:57:20+0800 | INFO | client.personal_assistant | event=discovery_response agent=outline_writer query=分镜大纲 url=http://13.236.177.52:8032/outline_writer
2025-12-26 22:30:08+0800 | INFO | client.personal_assistant | event=discovery_request base_url=https://www.ioa.pub/discovery/api/discovery/ agents=[{'name': 'outline_writer', 'query': '分镜大纲', 'limit': 1}]
2025-12-26 22:30:12+0800 | INFO | client.personal_assistant | event=discovery_response agent=outline_writer query=分镜大纲 url=http://13.236.177.52:8032/outline_writer
2025-12-26 22:30:59+0800 | INFO | client.personal_assistant | event=discovery_request base_url=https://www.ioa.pub/discovery/api/discovery/ agents=[{'name': 'outline_writer', 'query': '分镜大纲', 'limit': 1}]
2025-12-26 22:31:03+0800 | INFO | client.personal_assistant | event=discovery_response agent=outline_writer query=分镜大纲 url=http://13.236.177.52:8032/outline_writer
2025-12-26 22:32:09+0800 | INFO | client.personal_assistant | event=discovery_request base_url=https://www.ioa.pub/discovery/api/discovery/ agents=[{'name': 'outline_writer', 'query': '分镜大纲', 'limit': 1}]
2025-12-26 22:32:13+0800 | INFO | client.personal_assistant | event=discovery_response agent=outline_writer query=分镜大纲 url=http://13.236.177.52:8032/outline_writer
2025-12-26 22:32:52+0800 | INFO | client.personal_assistant | event=discovery_request base_url=https://www.ioa.pub/discovery/api/discovery/ agents=[{'name': 'outline_writer', 'query': '分镜大纲', 'limit': 1}]
2025-12-26 22:32:55+0800 | INFO | client.personal_assistant | event=discovery_response agent=outline_writer query=分镜大纲 url=http://13.236.177.52:8032/outline_writer
2026-01-09 14:16:24+0800 | INFO | client.personal_assistant | event=cli_start session_id=session-ec4d8d41-afbc-4c10-800f-8831f7ecd0ea
2026-01-09 14:17:50+0800 | INFO | client.personal_assistant | event=cli_start session_id=session-ddb72553-d82b-4a5f-8904-9e1a823b05ed
2026-01-09 14:19:28+0800 | INFO | client.personal_assistant | event=cli_start session_id=session-5f01947c-840e-4350-a874-df2165fc8525
2026-01-09 14:21:06+0800 | INFO | client.personal_assistant | event=cli_start session_id=session-64bdf55e-0587-46d3-93d8-479097fd1476
2026-01-09 14:22:05+0800 | INFO | client.personal_assistant | event=cli_start session_id=session-3364def9-415d-40ac-840e-0a031c1fca7b
2026-01-09 15:01:48+0800 | INFO | client.personal_assistant | event=cli_start session_id=session-09713545-5104-49cc-bb90-c6d34bf9b7ef
2026-01-09 15:02:29+0800 | INFO | client.personal_assistant | event=cli_start session_id=session-122fdc2a-b662-4389-b0fc-a80189663f33
2026-01-09 15:07:48+0800 | INFO | client.personal_assistant | event=cli_start session_id=session-74f2fd9b-d290-48b4-af64-673b2e6a6ddf
